Year,Movie_Title,New ROI,Genre1_Tag_Female,Genre1_Tag_Male,Genre2_Tag_Female,Genre2_Tag_Male,Genre3_Tag_Female,Genre3_Tag_Male,IMDB_Rating,#_of_Female_Cast,#_of_Male_Cast,#_of_Female_Dialogue,#_of_Male_Dialogue,#_of_Female_Crew,#_of_Male_Crew,Sentiment_Female,Sentiment_Male,Female_Male_Dialogues_Ratio,noun_count_male,noun_count_female,verb_count_male,verb_count_female,adjective_count_male,adjective_count_female,labels
1999,10 things i hate about you,2.342385375,0.099729545,0.114049976,0.127355717,0.130247457,0,0,6.9,5,7,295,374,11,26,0.027764407,0.026287433,2,2.441025641,2.080168776,2.584615385,2.61814346,0.615384615,0.580168776,1
1968,2001: a space odyssey,5.542857143,0.140717806,0.107436311,0.126418838,0.143353965,0.086335731,0.109145543,8.4,2,11,17,255,2,17,0.244723529,0.141933333,2,2.289915966,2.058823529,2.407563025,1.911764706,0.579831933,0.441176471,2
1982,48 hrs.,5.572375667,0.109943473,0.106252654,0.121080887,0.130146581,0.137316857,0.13876748,6.9,7,9,109,469,1,14,-0.026442202,0.002866098,2,2.313207547,2.479166667,2.562264151,2.875,0.586792453,0.645833333,0
1999,8mm,1.415467475,0.1395634,0.135962398,0.129552903,0.14426346,0.057487455,0.074767077,6.3,3,12,40,544,15,62,-0.09219,0.010540441,2,2.150579151,2.454545455,2.528957529,2.666666667,0.55984556,0.545454545,3
1988,a nightmare on elm street 4: the dream master,9.357142857,0.178377797,0.189375397,0.173641283,0.171361267,0.087689181,0.091099627,5.2,5,3,91,64,3,12,-0.064149451,-0.044042188,1,1.894736842,2.102941176,2.315789474,2.375,0.263157895,0.485294118,2
1997,air force one,2.707722459,0.088082839,0.118186338,0.093495305,0.09417815,0.063871678,0.06865092,6.3,5,18,87,281,32,68,0.033595402,0.013839146,2,2.371428571,2.159090909,2.625,2.068181818,0.585714286,0.454545455,2
1980,airplane!,22.84386829,0.098790625,0.111615487,0.11388216,0.135850382,0,0,7.8,8,12,84,152,4,26,0.09267381,0.065903289,2,2.161616162,2.562043796,2.04040404,2.591240876,0.444444444,0.591240876,2
1988,alien nation,1.009690438,0.135681723,0.139515225,0.10373458,0.097158344,0.120518387,0.108706059,6.1,3,10,30,287,10,27,0.13621,0.030714634,2,2.419928826,1.833333333,2.466192171,1.944444444,0.59430605,0.638888889,0
1986,aliens,8.908997568,0.106838092,0.113796437,0.106597073,0.108708877,0.064757194,0.079730335,8.5,3,10,174,185,7,31,-0.001855172,0.042548108,2,2.102661597,2.364583333,2.596958175,2.302083333,0.558935361,0.59375,2
1984,amadeus,1.8873905,0.076279835,0.090672972,0.091476927,0.107834082,0.127344707,0.146188135,8.4,4,24,160,847,6,22,0.039080625,0.122046399,2,2.185185185,2.206557377,2.472934473,2.344262295,0.53988604,0.603278689,3
1981,an american werewolf in london,2.1973249,0.130682175,0.152063431,0.11737062,0.12746549,0,0,7.5,6,9,153,425,3,12,0.014196078,-0.022654118,2,2.285245902,2.245421245,2.508196721,2.388278388,0.567213115,0.564102564,0
2001,american outlaws,-0.609173914,0.083267672,0.099348922,0.107635157,0.109893566,0,0,5.7,5,16,70,599,4,7,0.043877143,-0.00166611,2,2.30408472,0.875,2.650529501,1.375,0.537065053,0.25,3
2000,american psycho,3.895223429,0.076892531,0.083608309,0.051590781,0.057077007,0,0,7.4,8,9,163,515,22,37,0.071225767,0.035935922,2,2.221238938,0,2.364306785,0,0.474926254,0,3
2001,antitrust,-0.393479667,0.08785295,0.097164566,0.060449038,0.069172404,0,0,6,4,12,148,378,8,13,0.008882432,0.080747619,2,2.22265625,2.07037037,2.484375,2.574074074,0.5546875,0.611111111,0
1997,austin powers: international man of mystery,3.102059939,0.098560058,0.103990996,0.120694791,0.137917707,0.098357124,0.116580034,7.1,4,14,123,360,10,12,0.089025203,0.057425278,2,2.401785714,2.171428571,2.417410714,1.942857143,0.629464286,0.457142857,0
1984,bachelor party,5.405991167,0.121328491,0.119633083,0.164333953,0.145487733,0,0,5.9,7,14,101,379,1,11,0.123545545,0.088996042,2,2.482972136,1.974522293,2.523219814,2.006369427,0.637770898,0.382165605,0
1975,barry lyndon,0.818181818,0.131050699,0.120937123,0.178742581,0.169428937,0.163581073,0.157488206,8.1,5,17,35,303,2,12,0.184395161,0.179584058,2,2.337962963,1.901639344,2.449074074,2.352459016,0.574074074,0.524590164,0
2003,basic,-0.14414878,0.13324442,0.148209576,0.095641061,0.104583197,0.126627784,0.141127621,6.3,1,11,137,541,12,46,-0.029287591,-0.071266359,2,2.55624037,2.620689655,2.619414484,2.551724138,0.57164869,0.413793103,3
2003,big fish,0.7559865,0.134092621,0.134475214,0.104938053,0.108911351,0.16706666,0.167567328,8.1,5,6,121,286,44,93,0.082844628,0.080672378,2,2.074626866,2.28057554,2.447761194,2.431654676,0.503731343,0.467625899,0
1982,blade runner,0.183557786,0.08857549,0.081254272,0.108572794,0.092827652,0.062196035,0.060129043,8.3,8,10,135,359,10,27,0.010062222,0.047314206,2,2.313199105,2.361702128,2.371364653,2.489361702,0.541387025,0.404255319,0
1999,blast from the past,0.150372,0.101820247,0.101180201,0.085110627,0.087626288,0.1200694,0.120785793,6.4,5,16,357,623,3,17,0.059183193,0.105554093,2,2.256976744,2.258333333,2.472093023,2.2,0.606976744,0.491666667,3
1986,blue velvet,0.425204667,0.116771408,0.122284127,0.131269243,0.136799184,0.065264689,0.065393252,7.8,4,10,290,399,3,10,0.080155172,0.128209524,2,2.264423077,2.347985348,2.490384615,2.776556777,0.576923077,0.673992674,1
1995,braveheart,1.916666667,0.120866324,0.112802815,0.088186416,0.083404433,0.123096239,0.10158623,8.4,6,9,90,191,15,52,0.006224444,-0.049606806,2,2.449494949,2.855421687,2.429292929,3.518072289,0.646464646,0.698795181,2
1942,casablanca,10.91628702,0.087446953,0.094166445,0.116557066,0.121012649,0.136994807,0.133301703,8.8,4,11,144,690,2,31,0.050234028,0.11611058,2,2.239564428,2.250883392,2.537205082,2.636042403,0.55353902,0.61130742,3
2000,cast away,3.773690467,0.122324719,0.116976551,0.088705336,0.088091012,0,0,7.5,6,10,84,316,2,11,0.022361905,0.01931519,2,2.165333333,3.6,2.229333333,2.92,0.536,0.64,0
1974,dark star,-1,0,0.09667155,0,0.111835575,0,0.074018724,6.5,0,7,0,288,0,20,0,0.005317361,,2.739583333,0,2.802083333,0,0.638888889,0,0
2001,donnie darko,-0.788246333,0.112875539,0.106857602,0.143167493,0.141615505,0.099712032,0.113412916,8.3,7,12,147,355,11,24,0.00430068,0.010051268,2,2.295833333,2.136363636,2.59375,2.045454545,0.564583333,0.818181818,0
1999,drop dead gorgeous,0.0571408,0.130693827,0.124457256,0.117757637,0.110811219,0,0,6.3,10,10,245,61,1,5,0.096282041,0.029365574,1,2.585365854,2.21509434,1.87804878,2.716981132,0.585365854,0.505660377,2
1933,duck soup,#DIV/0!,0.136596963,0.103286879,0.118291923,0.090731772,0,0,8.1,3,5,22,299,1,18,0.061022727,0.003341137,,2.335548173,2.3,2.584717608,2.3,0.611295681,0.55,0
2004,eternal sunshine of the spotless mind,2.6129063,0.098321844,0.094832228,0.151250983,0.13168155,0.103377925,0.093977742,8.5,7,7,370,458,5,16,0.103739189,0.093765939,2,1.965909091,2.414110429,2.448863636,2.553680982,0.579545455,0.569018405,1
1993,even cowgirls get the blues,-1,0.126485056,0.140112864,0.118622487,0.116429308,0.164832843,0.171717822,4,2,5,77,74,6,16,0.020107792,0.083644595,,2.284090909,2.888888889,2.534090909,3.253968254,0.534090909,0.650793651,2
1997,event horizon,-0.555445967,0.123925222,0.128192855,0.123712536,0.129198819,0,0,6.4,2,8,132,469,9,50,0.034161364,-0.023192537,2,2.581920904,2.371428571,2.747645951,2.871428571,0.630885122,0.528571429,0
2005,fantastic four,2.30579719,0.109512406,0.107458078,0.106855177,0.111477427,0.13812842,0.152357657,5.7,4,7,116,334,23,112,0.012077586,0.071350898,2,2.205513784,2.019607843,2.285714286,2.745098039,0.428571429,0.490196078,0
1982,fast times at ridgemont high,5.02064,0.108900424,0.110098835,0.091623924,0.092794526,0.129778066,0.121364388,7.2,6,12,322,267,2,13,0.119392857,0.056505993,1,2.185676393,2.603773585,2.580901857,2.75,0.485411141,0.575471698,1
1998,fear and loathing in las vegas,-0.422687838,0.114604595,0.110043504,0.178799948,0.175593385,0,0,7.6,1,7,19,349,25,75,0.060842105,-0.081129513,2,2.006097561,1.75,2.240853659,2.05,0.56097561,0.525,0
1982,frances,#DIV/0!,0.073058247,0.075682298,0.098165771,0.105689045,0,0,7.2,8,21,432,297,3,11,0.055491435,0.06939697,,2.206030151,2.428301887,2.673366834,2.543396226,0.542713568,0.554716981,1
1931,frankenstein,1.4890288,0.118646361,0.107006881,0.156776929,0.149147235,0.113597109,0.121867775,8,6,6,124,217,3,12,0.069826613,0.030463594,2,1.833333333,2.602870813,2.318181818,2.832535885,0.606060606,0.674641148,2
2009,friday the 13th,107.6447291,0.125639043,0.13314581,0,0,0,0,5.6,5,7,98,135,6,16,0.016454082,0.07017037,2,2.18627451,2.259541985,2.058823529,2.519083969,0.568627451,0.465648855,2
1996,from dusk till dawn,0.359821895,0.100247318,0.095956674,0.123863364,0.130822002,0.144845017,0.143003894,7.1,3,9,53,395,28,89,0.088775472,-0.018119747,2,2.230569948,2.209677419,2.396373057,2.5,0.632124352,0.596774194,0
1997,g.i. jane,-0.03661688,0.114141566,0.129118953,0.101108271,0.105595502,0,0,5.6,6,11,281,217,5,11,0.024700712,0.009079724,1,2.234177215,2.644117647,2.417721519,2.558823529,0.639240506,0.635294118,1
1998,godzilla,1.915494569,0.095518622,0.097703676,0.145311864,0.126124724,0.105674961,0.103269658,4.9,3,9,104,201,26,96,0.041000962,0.055919403,2,2.396648045,3.111111111,2.586592179,3.03968254,0.597765363,0.619047619,2
1999,galaxy quest,1.015198133,0.102555493,0.105500724,0.116209824,0.118785156,0.099039997,0.103538955,7.2,3,11,130,444,9,37,-0.002583077,0.002166441,2,2.048498845,2.085106383,2.212471132,2.787234043,0.52886836,0.560283688,0
2001,ghost world,-1,0.126581755,0.112610375,0.10650539,0.097937105,0,0,7.7,11,8,724,261,8,13,0.023528867,0.10705364,,2.540540541,2.048298573,2.918918919,2.331503842,0.567567568,0.530186608,1
1989,ghostbusters ii,4.821479405,0.095384148,0.111452527,0.115160134,0.138400726,0.107944847,0.120426441,6.1,4,12,104,394,13,43,0.071724038,0.095407868,2,2.285234899,2.14,2.577181208,2.41,0.590604027,0.53,0
1986,ghostbusters,8.840415567,0.088504696,0.093661658,0.098882012,0.100840366,0.15762399,0.162364208,6.9,6,13,46,408,4,19,0.091606667,0.056734384,2,2.271777003,2.185628743,2.261324042,2.425149701,0.578397213,0.48502994,0
2000,gladiator,3.443110942,0.120810178,0.139660568,0.154895047,0.15077678,0.127059876,0.12094742,8.4,4,10,70,307,20,81,0.105327143,0.073837134,2,2.083815029,2.225806452,2.338150289,2.096774194,0.552023121,0.483870968,0
1932,grand hotel,2.705714286,0.096381273,0.10309338,0.125673457,0.126951464,0,0,7.7,5,14,237,595,0,7,0.085313502,0.07747395,2,2.22909699,2.209401709,2.525083612,2.431623932,0.591973244,0.679487179,3
1971,harold and maude,-1,0.119827353,0.093062152,0.148964121,0.11969962,0,0,8.1,5,7,205,325,0,10,0.169224878,0.093885231,,2.111578947,2.072727273,2.397894737,2.272727273,0.524210526,0.4,0
1988,hellbound: hellraiser ii,3.030245,0.105241221,0.112584595,0.151096333,0.175412548,0.078278367,0.08626297,6.2,6,3,76,40,17,70,0.040144737,0.02109,1,0,2.155172414,0,2.301724138,0,0.5,2
2004,hellboy,0.504833136,0.10540539,0.094896366,0.134340991,0.117517299,0.16115192,0.151506295,6.8,4,8,54,235,33,78,-0.02812037,-0.008114043,2,2.457142857,2.412280702,2.662857143,2.394736842,0.72,0.605263158,2
1987,hellraiser,13.564027,0.112876303,0.134716411,0,0,0,0,7,3,8,266,242,13,58,0.009861654,0.016986777,1,2.164021164,2.4169279,2.343915344,2.592476489,0.566137566,0.60815047,1
2000,high fidelity,0.5708765,0.117882904,0.122890425,0.101603793,0.098474881,0.150620043,0.155613934,7.6,5,9,244,580,2,12,0.070235656,0.036205517,2,2.328947368,2.288288288,2.442105263,2.522522523,0.623684211,0.608108108,3
1986,highlander,-0.63125,0.091936496,0.099412691,0.146044282,0.143990578,0,0,7.2,12,17,75,574,2,20,-0.003351835,0.021027146,2,2.295081967,2.293604651,2.426229508,2.630813953,0.603278689,0.558139535,3
1940,his girl friday,#DIV/0!,0.10089775,0.104888541,0.092910188,0.09797774,0.119429379,0.123432424,8.1,6,16,426,723,2,17,0.049428169,0.063472614,,2.283195021,2.286486486,2.340248963,2.475675676,0.550829876,0.6,3
1987,hope and glory,#DIV/0!,0.099370344,0.095807866,0.144505026,0.13533038,0,0,7.4,5,6,126,177,0,2,0.036197619,0.047082486,,1.807881773,2.34,2.167487685,2.86,0.571428571,0.75,2
2003,house of 1000 corpses,1.404220714,0.159605521,0.167139435,0,0,0,0,5.6,6,8,311,302,22,66,-0.022323151,0.084387417,1,2.066390041,2.196236559,2.248962656,2.516129032,0.477178423,0.602150538,1
2001,human nature,-0.882448667,0.124496371,0.123129605,0.105752172,0.111410311,0,0,6.3,5,5,286,268,4,11,0.125316434,0.17686903,1,2.403225806,2.414634146,2.774193548,2.75203252,0.64516129,0.62601626,1
2007,i am legend,2.902326733,0.082500065,0.059877056,0.115501131,0.086042088,0.055517458,0.047980175,7.1,3,2,44,53,4,19,0.072859091,0.074064151,2,2.041666667,2.205479452,1.625,2.438356164,0.25,0.698630137,2
1996,independence day,9.892923573,0.109672716,0.107898154,0.123013207,0.111371999,0.099459969,0.101413758,6.6,6,13,82,265,14,49,-0.00925,0.002012075,2,2.524229075,2.041666667,2.31277533,2.483333333,0.621145374,0.55,2
1989,indiana jones and the last crusade,8.878579292,0.08424971,0.090576674,0.124031586,0.13275338,0.070106241,0.069602075,8.3,1,8,37,381,7,39,0.012997297,0.06735748,2,2.340116279,2.391891892,2.720930233,3.243243243,0.604651163,0.716216216,0
1984,indiana jones and the temple of doom,10.89285714,0.092321436,0.09614156,0.139374408,0.135417529,0,0,7.5,3,5,146,218,5,23,0.002582192,0.017929817,2,2.278996865,2.577777778,2.445141066,2.555555556,0.507836991,0.622222222,2
2003,intolerable cruelty,0.999013583,0.103112255,0.095443065,0.139858209,0.130368096,0.123493076,0.117473085,6.4,9,9,311,369,12,34,0.093341158,0.035741463,2,2.681003584,2.119700748,2.831541219,2.431421446,0.663082437,0.511221945,1
1934,it happened one night,12.84615385,0.103322509,0.11731436,0.132016676,0.133790328,0,0,8.3,7,18,414,448,2,9,0.091455314,0.118464062,2,2.477876106,2.254716981,2.898230089,2.564465409,0.67699115,0.600628931,1
1991,jfk,4.13513745,0.106243056,0.101748893,0.125230513,0.111979995,0.166786328,0.159777544,8,9,25,118,622,14,55,-0.019023729,-0.066756752,2,2.158707865,1.642857143,2.403089888,1.464285714,0.508426966,0.392857143,3
1997,jackie brown,2.306096833,0.123156484,0.125321913,0.092989176,0.089283978,0.069969096,0.071427763,7.6,5,8,440,774,3,6,0.028995909,-0.01075155,2,2.26,2.289156627,2.583636364,2.527108434,0.614545455,0.519578313,3
2001,jason x,0.541072545,0.131431881,0.134278444,0.092169281,0.106859309,0,0,4.4,4,10,73,431,0,9,-0.044016438,-0.045849884,2,2.249370277,2.411214953,2.556675063,2.289719626,0.591939547,0.794392523,0
1975,jaws,66.23628571,0.054800082,0.075118211,0,0,0,0,8.3,4,8,48,365,6,22,0.114520833,-0.000198082,2,2.341902314,2.083333333,2.475578406,2.583333333,0.642673522,0.833333333,0
2007,juno,29.85487787,0.132227299,0.131558758,0.115037373,0.109980232,0,0,7.9,8,8,468,205,25,47,0.115934829,0.126830244,1,2,2.491869919,2.187845304,2.762195122,0.574585635,0.634146341,1
1995,kids,3.941477333,0.100576307,0.113737323,0.098804272,0.10226483,0,0,6.8,10,10,209,323,2,8,0.058927273,0.039716718,2,2.587044534,2.4,2.599190283,2.575438596,0.526315789,0.561403509,0
1983,krull,-0.388168148,0.153602036,0.157102224,0.093437389,0.113433464,0.126213182,0.141550925,5.9,5,9,82,399,2,13,0.011609756,0.019243108,2,2.431707317,1.873239437,2.504878049,2.38028169,0.592682927,0.394366197,0
2001,legally blonde,6.876371056,0.105822534,0.105110566,0,0,0,0,6.2,6,13,314,204,12,12,0.084227389,0.022433824,1,2.120567376,2.24933687,2.283687943,2.652519894,0.475177305,0.546419098,1
1985,legend,-0.37991552,0.18258804,0.181017138,0.144506911,0.16190467,0.16052538,0.163861186,6.2,3,10,131,646,1,10,0.08269281,0.051352404,2,2.312741313,0,2.514800515,0,0.603603604,0,3
2000,little nicky,-1,0.168541309,0.170026428,0.109359175,0.117149472,0.136448808,0.13840185,5,5,14,96,343,0,9,0.112226042,0.011619534,,2.328530259,2.554347826,2.602305476,2.652173913,0.567723343,0.836956522,0
1997,lost highway,-0.7549866,0.084755227,0.07972822,0.123738089,0.12393955,0.129662637,0.111025865,7.6,6,17,128,362,24,50,-0.033977344,0.045838398,2,2.398457584,2.287128713,2.33933162,2.02970297,0.632390746,0.376237624,0
1937,lost horizon,-1,0.129517148,0.136930296,0.100160934,0.102280647,0.16533415,0.170507427,7.8,6,6,72,582,3,9,0.034058333,0.09813866,,2.379844961,2.111111111,2.640310078,2.333333333,0.531782946,0,3
1997,men in black,5.548783767,0.0832457,0.104021131,0.112228024,0.115936279,0.101756255,0.10263658,7,3,11,44,363,29,93,0.012236364,0.030088705,2,2.518918919,2.432432432,2.721621622,2.297297297,0.686486486,0.432432432,0
2002,minority report,2.513460059,0.105893611,0.101385249,0.123881642,0.132307709,0.128369343,0.137806399,7.7,7,13,137,546,36,120,-0.031280292,0.008356777,2,2.255136986,2.464646465,2.419520548,2.414141414,0.494863014,0.575757576,3
1992,malcolm x,0.416762,0.078505125,0.07942739,0.099774193,0.099426984,0.124310309,0.132799173,7.7,11,15,115,431,1,16,0.063182609,0.027946868,2,2.447368421,2.331325301,2.539473684,2.331325301,0.605263158,0.584337349,0
1955,marty,7.746355685,0.098830825,0.110307108,0.151692912,0.146256257,0,0,7.7,8,9,154,308,2,20,0.058568699,0.061634259,2,2.075221239,2.11440678,2.716814159,2.457627119,0.672566372,0.538135593,0
1941,meet john doe,#DIV/0!,0.109085367,0.119004394,0.09109301,0.093554794,0.118449547,0.122753499,7.7,6,12,165,347,4,11,0.11587697,0.093151585,,2.236734694,2.445692884,2.379591837,2.524344569,0.636734694,0.509363296,0
1927,metropolis,-0.992977521,0.087377396,0.104324896,0.068612523,0.082224319,0.073848422,0.10198979,8.4,5,6,64,209,7,27,0.012796875,0.013589952,2,2.163934426,2.022222222,2.420765027,1.988888889,0.475409836,0.444444444,2
2001,monkeybone,-0.927873107,0.111111271,0.117368415,0.126095477,0.137223446,0.168266246,0.192338121,4.5,4,9,84,220,8,23,0.125371429,0.020064545,2,1.880952381,2.352941176,2.083333333,2.301470588,0.446428571,0.639705882,2
1939,mr. smith goes to washington,#DIV/0!,0.097670114,0.093187354,0,0,0,0,8.4,6,16,287,655,5,25,0.118074913,0.11432916,,2.377777778,2.142857143,2.498888889,2.357142857,0.595555556,0.285714286,3
1936,mr. deeds goes to town,#VALUE!,0.109790928,0.114595006,0.128105126,0.130904337,0,0,8,7,24,188,610,4,14,0.118259043,0.131770492,,2.469348659,2.293478261,2.637931034,2.557971014,0.634099617,0.605072464,3
1999,mystery men,#DIV/0!,0.095449418,0.090790635,0.109948083,0.110600387,0.156877235,0.154949501,5.9,5,8,84,345,1,12,0.047895238,0.013983478,,2.165789474,2.306122449,2.394736842,2.734693878,0.581578947,0.612244898,0
2000,next friday,#VALUE!,0.089407288,0.113480725,0,0,0,0,5.4,6,10,75,398,1,7,-0.001324,0.013492462,,2.477647059,2.020833333,2.444705882,1.75,0.583529412,0.354166667,0
1995,nick of time,-0.562323368,0.106434791,0.115134059,0.087962277,0.081394934,0.058438322,0.057579974,6.2,4,7,85,293,1,9,0.114112941,0.00748942,2,2.380434783,2.225490196,2.655797101,2.254901961,0.52173913,0.5,0
1984,a nightmare on elm street,4.438848,0.158948834,0.169490885,0,0,0,0,7.4,3,6,160,103,3,12,0.027564375,-0.035043689,1,2.393939394,2.030612245,2.545454545,2.193877551,0.56969697,0.418367347,2
1939,ninotchka,0.00073237,0.100280596,0.099506829,0.131995047,0.136140231,0,0,7.9,5,14,450,565,0,13,0.142552889,0.15964531,2,2.23253012,2.194594595,2.453012048,2.497297297,0.592771084,0.545945946,1
2007,no country for old men,13.16917389,0.105558641,0.116350478,0.086210808,0.082247851,0.113806358,0.125139955,8.3,3,15,79,521,10,31,-0.001726582,0.031557006,2,2.158102767,2.265957447,2.270750988,2.563829787,0.486166008,0.542553191,0
2000,"o brother, where art thou?",0.66959707,0.108157494,0.13011586,0.107775487,0.121082543,0.113189067,0.12317265,7.8,2,13,26,290,11,22,0.02915,0.042810345,2,2.208494208,1.929824561,2.563706564,1.877192982,0.652509653,0.438596491,0
1982,an officer and a gentleman,5.864,0.104785613,0.106708102,0.138751275,0.143448957,0,0,6.8,5,6,159,340,2,14,0.10447673,0.050526176,2,2.283333333,2.108108108,2.454166667,2.884169884,0.55,0.621621622,0
2002,panic room,1.764166423,0.06252404,0.076875678,0,0,0,0,6.9,3,5,154,190,17,50,-0.01995,-0.036598421,2,2.074766355,2.138461538,2.551401869,2.146153846,0.602803738,0.4,2
1998,pleasantville,#DIV/0!,0.10101328,0.101776606,0.08328258,0.08784724,0.151621477,0.151851452,7.5,3,12,205,461,8,32,0.100650732,0.101143167,,2.435661765,1.893442623,2.575367647,2.336065574,0.582720588,0.647540984,0
2002,punch-drunk love,3.091612813,0.10719484,0.093204315,0.085087495,0.072047298,0.116527075,0.102373099,7.4,10,8,314,451,4,11,0.100343631,0.085438359,2,2.447042641,1.894736842,2.559834938,2.578947368,0.613480055,0.421052632,1
1980,raging bull,#DIV/0!,0.051878555,0.060051451,0.096188237,0.098142566,0.147722847,0.153586835,8.4,4,8,105,345,14,36,-0.027110476,-0.009087826,,2.490291262,3.210526316,2.703883495,2.289473684,0.587378641,0.736842105,0
1954,rear window,-0.32,0.138338488,0.134887743,0.155182086,0.145350986,0.143950683,0.130649081,8.7,4,6,207,394,1,15,0.038955072,0.017682487,2,2.039933444,0,2.226289517,0,0.480865225,0,0
1955,rebel without a cause,0.277777778,0.099902105,0.092679425,0.129829743,0.112048946,0,0,7.9,3,12,139,466,2,11,0.056614388,0.027737339,2,2.278210117,2.395604396,2.480544747,2.538461538,0.542801556,0.505494505,0
1992,reservoir dogs,35.764313,0.121725733,0.148378528,0.149953875,0.141364795,0.084134658,0.085063971,8.4,1,12,21,444,16,47,-0.053504762,-0.105677252,2,2.183486239,1.862068966,2.589449541,1.689655172,0.559633028,0.344827586,0
2001,scary movie 2,-1,0.112522627,0.116443497,0,0,0,0,4.7,6,9,233,237,34,93,0.0663,0.11903038,,2.215686275,1.879069767,2.278431373,2.404651163,0.454901961,0.51627907,2
1994,serial mom,11.21750583,0.133559308,0.132055406,0.069398084,0.079782369,0,0,6.4,7,11,182,148,1,5,-0.070821429,0.013073649,1,2.52,2.174193548,2.868571429,2.464516129,0.582857143,0.503225806,2
1989,"sex, lies, and videotape",2.138237289,0.082277294,0.087764468,0,0,0,0,7.1,5,4,485,393,3,6,0.058455464,0.015090585,1,2.555555556,2.23803681,2.412698413,2.420858896,0.714285714,0.534969325,1
1981,shock treatment,-0.398408615,0.109576339,0.11235374,0.097853201,0.102066798,0,0,5.4,9,14,103,203,0,3,0.069752427,0.08970197,2,2.259259259,2.298611111,2.62345679,2.680555556,0.598765432,0.5625,2
2004,sideways,-1,0.123899192,0.128036805,0.102443417,0.103330841,0.14512,0.152712865,7.8,7,5,168,655,14,14,0.10867381,0.098048397,,2.427018634,1.837988827,2.498447205,2.418994413,0.551242236,0.553072626,3
2002,signs,#DIV/0!,0.097430913,0.084501391,0.161136143,0.124450547,0.094117588,0.093858753,6.9,2,5,31,233,18,70,0.03093871,0.007699571,,2.197580645,1.25,2.387096774,2.625,0.552419355,0.25,2
2006,slither,5.843893938,0.131013883,0.109940122,0.146329871,0.136277164,0.1103391,0.095139702,6.6,6,5,105,90,1,12,0.031019048,-0.012848889,1,2.376,2.414285714,2.256,2.671428571,0.552,0.571428571,2
2002,solaris,4.670109958,0.093912157,0.08614445,0.137632072,0.129211694,0.121074688,0.108783836,6.2,1,4,102,264,15,40,-0.037364706,0.0099375,2,2.24863388,0,2.428961749,0,0.543715847,0,2
